POS,Player,Runs,BF,SR,4s,6s,Against,Venue,Match Date,Year,Metric,Source_File
11,Naman Ojha,68,51,133.33,5,5,PBKS,Kingsmead,05 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
12,David Hussey,43,17,252.94,2,4,DEC,New Wanderers Stadium,16 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
13,Simon Katich,50,25,200.0,3,4,CSK,Supersport Park,07 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
14,Chris Gayle,44,26,169.23,2,4,PBKS,Kingsmead,21 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
15,Andrew Symonds,60,36,166.66,2,4,PBKS,De Beers Diamond Oval,09 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
16,Sanath Jayasuriya,52,32,162.5,2,4,KKR,St George's Park,27 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
17,Brad Hodge,71,44,161.36,4,4,CSK,Supersport Park,18 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
18,Manish Pandey,114,73,156.16,10,4,DEC,Supersport Park,21 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
19,Sachin Tendulkar,68,45,151.11,6,4,KKR,St George's Park,27 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
20,Yuvraj Singh,50,34,147.05,3,4,RCB,Kingsmead,01 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
21,Dwayne Smith,47,32,146.87,0,4,RR,De Beers Diamond Oval,11 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
22,JP Duminy,52,37,140.54,1,4,KKR,Buffalo Park,01 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
23,Herschelle Gibbs,60,43,139.53,3,4,RCB,Supersport Park,21 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
24,Chris Gayle,41,33,124.24,2,4,RR,Newlands,23 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
25,Abhishek Nayar,35,14,250.0,2,3,CSK,Newlands,18 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
26,Adam Gilchrist,44,19,231.57,5,3,CSK,Kingsmead,27 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
27,Matthew Hayden,57,27,211.11,5,3,DC,Kingsmead,23 April 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
28,Ross Taylor,25,12,208.33,1,3,DC,New Wanderers Stadium,19 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
29,Irfan Pathan,21,11,190.9,0,3,DC,OUTsurance Oval,15 May 2009,2009,Most Sixes Innings,Most Sixes Innings - 2009.csv
